,title,SponsorLevel,discovertotems_link,category,GPS_in_degrees_pair,discovertotems landing page url,GPS_in_scientific_pair,GPS_in_scientific_longitude,GPS_in_scientific_latitude,carvers,description,related_link,picture_link,geocache_link,pubdate,event start date,event end date
,Bill Reid Gallery,None,http://www.discovertotems.com/BillReidGallery,Art & Culture,"+49° 17' 35.01"", -123° 6' 53.78""",,"49.293058, -123.114939",49.293058,-123.114939,Multiple,"The Bill Reid Gallery of Northwest Coast Art opened in May 2008 in downtown Vancouver. This public art gallery is named after Bill Reid (1920 – 1998), the acclaimed Haida master goldsmith, carver, sculptor, writer, spokesman and one of Canada’s greatest artists. The Gallery is devoted to understanding and appreciating contemporary Aboriginal art of the Northwest Coast Art.",http://www.billreidgallery.ca,http://www.discovertotems.com/sites/discovertotems.com/files/images/BillReidGallery.jpg,NA,3/20/2010,,
,Talking Stick Festival ,None,http://www.discovertotems.com/TalkingStick2010,Entertainment,"+49° 16' 24.53"", -123° 7' 21.00""",,"49.27348, -123.122499",49.273480,-123.122499,NA,"Full Circle First Nations Performance is very excited to present the 9th Annual Talking Stick Festival from February 21 - 28, 2010. This vibrant citywide festival provides a stage for extraordinary Aboriginal artists; established and emerging, national and international, performing live music, dance, theatre, multi-media, storytelling and performance art. The festival, co-presented by the Vancouver 2010 Cultural Olympiad, is thrilled to be able to introduce the Aboriginal culture and arts to the many visitors here during the Olympics.

The festival will have performances taking place in the Roundhouse Community Arts and Recreation Centre, located across from the Olympic Live Site, and the Britannia Centre.",http://fullcircleperformance.ca/content.asp?chapterID=2&subchapterID=71&pageID=186,http://www.discovertotems.com/sites/discovertotems.com/files/images/TSF%202010%20poster_0.jpg,NA,3/20/2010,2/21/2010,2/28/2010
,Darryl's Coffee and Native Art Shop,None,http://www.discovertotems.com/DarrylsCoffee,Food,"+49° 16' 43.38"", -123° 7' 42.93""",,"49.278717, -123.128591",49.278717,-123.128591,NA,"Darryl's Coffee and Native Art Shop (945 Davie Street), which frequently serves oven-baked bannock, is a great small shop with exceptional deals on guaranteed genuine Native Art. Darryl deals directly with the artists and returns a greater portion of the profits to them than most galleries. And most items are priced much lower than the average gallery or shop.",NA,http://www.discovertotems.com/sites/discovertotems.com/files/images/Darryls.PNG,NA,3/20/2010,,
,Squamish Lil’wat Cultural Centre,None,http://www.discovertotems.com/SquamishLilwatCulturalCentre,Architecture & Buildings,+50° 7' 5.23,,"50.11812, -122.946941",50.118120,-122.946941,NA,"Squamish Lil’wat Cultural Centre is a showcase for the cultures of the two First nations whose traditional territories overlap in the Callaghan Valley, where the resort municipality of Whistler now stands.",http://www.slcc.ca/,http://www.discovertotems.com/sites/discovertotems.com/files/images/SquamishCenter.jpg,NA,3/20/2010,,
,Native Education College (NEC),None,http://www.discovertotems.com/nec,College & Education,"+49° 15' 59.65"", -123° 5' 57.01""",,"49.266569, -123.099169",49.266569,-123.099169,NA,"BC's largest private Aboriginal College. Within available resources, NEC provides a culturally appropriate and supportive learning environment for Aboriginal learners. NEC offers a variety of programs and services to Aboriginal learners throughout the province who attend the Longhouse located in the Mount Pleasant area of Vancouver. NEC also works with Aboriginal organizations to deliver programs in other locations throughout British Columbia. NEC focuses on meeting the needs of Aboriginal adult students requiring developmental, vocational, and applied academic programs that provide access to employment or further post-secondary education. The faculty and staff strive to combine academic excellence with a strong commitment to the best practices of Aboriginal adult education. 285 East 5th Avenue, Vancouver, BC V5T 1H2 (604) 873-3761",http://www.necvancouver.org,http://www.discovertotems.com/sites/discovertotems.com/files/images/the%20centre.preview.JPG,NA,3/20/2010,,
,Whey-Ah-Whichen (Cates Park),None,http://www.discovertotems.com/CatesPark,Parks & Nature,49°18.112'N 122°57.308'W,,"49.331111,-123.035556",49.331111,-123.035556,NA,"Whey-Ah-Whichen is the Tsleil-Waututh name for this place which defines Indian Arm from Burrard Inlet. The Squamish know it as Atsenách. The point was named after Lieutenant Rocke of HMS Satellite, which patrolled the Northwest Coast in the 1850s.
Cates Park was dedicated in 1950 in memory of Charles H Cates, founder of the Cates Towing Company, and was developed during the following decade.",http://www.deepcovebc.com/parkscatespark.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/cates%20park%20totem%20pole%20top%20angle%201.preview.JPG,NA,3/20/2010,,
,Spirit Wrestler Gallery,None,http://www.discovertotems.com/SpiritWrestlerGallery,Shopping & Services,"+49° 17' 1.31"", -123° 6' 18.86""",,"49.283698, -123.105238",49.283698,-123.105238,NA,,http://www.spiritwrestler.com,http://www.discovertotems.com/sites/discovertotems.com/files/images/gallery-2008-03-06a_MED.jpg,NA,3/20/2010,,
,Talaysay Tours,None,http://www.discovertotems.com/TalaysayTours,Travel & Lodging,"+49° 29' 43.54"", -123° 46' 17.50""",,"49.495427, -123.771529",49.495427,-123.771529,NA,"Sechelt (shishálh) First Nations owned and operated cultural interpretative tour company, (with a emphasis on education in First Nations history, arts, ecological practices, outdoor adventure and safety).  Talaysay Tours provides guided kayak tours, lessons, rentals, nature walks, museum tours, community-totem pole walks, longhouse tours, events, carving demonstrations, and drumming and singing. ",http://talaysay.com/,Talaysay Tours http://www.discovertotems.com/sites/discovertotems.com/files/images/kayaks.jpg,NA,3/20/2010,,
,Wil Sayt Bakwhlgat & Longhouse (NEC),None,http://www.discovertotems.com/WilSaytBakwhlgat,Totem Pole,#ERROR!,http://www.discovertotems.com/book1/5thMain,"49.266569, -123.099169",49.266569,-123.099169,unknown,"Wil Sayt Bakwhlgat is the name of the pole that stands at the front of the NEC Native Education College longhouse in Vancouver. It is a Nisga'a phrase meaning, ""the place where people gather."" The pole was carved by Norman Tait, a Nisga'a artist. He carved the pole to show a story that was given to him by Hattie Ferguson, a Tshimshian woman from Kitkatla. A plaque at the NEC Native Education College says, ""This pole is dedicated to all Indian people who have gone on before, to those who currently struggle for our survival and the generations yet unborn.""",http://www.necvancouver.org/longhouse,http://www.discovertotems.com/sites/discovertotems.com/files/images/top%20of%20totem%205th%20and%20Main.preview.JPG,NA,3/20/2010,,
,Burrard Bridge,None,http://www.discovertotems.com/node/154,Totem Pole,"+49° 16' 25.62"", -123° 8' 23.04""",http://www.discovertotems.com/node/154,"49.266569, -123.099169",49.266569,-123.099169,unknown,"This is the pole that for at least a year, sat unfinished behind the Maritime Museum in a woodshed, see unfinished totem gallery for pictures of this one as a work in progress. I had thought it would be raised on the Museum grounds and for awhile there was signs posted to that effect. How it ended up being raised almost under the Burrard Bridge adjacent to ""Cultural Harmony Park"" is a mystery to me. As well, it still looks quite unfinished and has some carvings that (loon images) that don't quite fit with traditional pole carvings.",,Unable to create scaled Thumbnail image,NA,3/20/2010,,
,Canada Place,None,http://www.discovertotems.com/book1/CanadaPlace,Totem Pole,+49° 17' 16.42,http://www.discovertotems.com/book1/CanadaPlace,"49.287894, -123.113692",49.287894,-123.113692,unknown,no info,,no picture displayed,NA,3/20/2010,,
,Canadian Tire on Cambie,None,http://www.discovertotems.com/book1/CanadianTire,Totem Pole,"+49° 15' 54.18"", -123° 6' 52.15""",http://www.discovertotems.com/book1/CanadianTire,"49.265050, -123.114486",49.265050,-123.114486,unknown,TBD,,TBD,NA,3/20/2010,,
,Capilano Suspension Bridge,None,http://www.discovertotems.com/book1/CapilanoSuspensionBridge,Totem Pole,"+49° 20' 37.35"", -123° 6' 46.43""",http://www.discovertotems.com/book1/CapilanoSuspensionBridge,"49.343708, -123.112897",49.343708,-123.112897,unknown,TBD,,TBD,NA,3/20/2010,,
,"Cates Park, Deep Cove",None,http://www.discovertotems.com/CatesPark,Totem Pole,"+49° 18' 6.72"", -122° 57' 18.48""",http://www.discovertotems.com/bool1/CatesPark,"49.301867, -122.955133",49.301867,-122.955133,unknown,TBD,,http://www.discovertotems.com/node/42,NA,3/20/2010,,
,Horseshoe Bay Ferry Terminal,None,http://www.discovertotems.com/book1/HorseshoeBayFerryTerminal,Totem Pole,"+49° 22' 26.22"", -123° 16' 22.73""",http://www.discovertotems.com/book1/HorseshoeBayFerryTerminal,"49.373950, -123.272981",49.373950,-123.272981,unknown,Kwakiutl Bear Pole,,TBD,NA,3/20/2010,,
,Horseshoe Bay Park,None,http://www.discovertotems.com/book1/HorseshoeBayPark,Totem Pole,"+49° 22' 30.38"", -123° 16' 30.96""",http://www.discovertotems.com/book1/HorseshoeBayPark,"49.375106, -123.275267",49.375106,-123.275267,unknown,TBD,,TBD,NA,3/20/2010,,
,Jomar Lanot Memorial Pole,None,http://www.discovertotems.com/node/257,Totem Pole,"+49° 14' 58.65"", -123° 5' 45.01""","http://www.discovertotems.com/node/257"">Jomar Lanot Memorial Pole","49.249625, -123.095836",49.249625,-123.095836,"Martin Sparrow (Musqeaum First Nation) , Joe Bolton (Tsimshian)","This pole was raised on June 13th, 2007 in memory of Jomar Lanot, a teen-ager beaten to death after fleeing a group of youths who challenged one of his friends to a fight, then racially taunted them. The Filipino teen was walking home on Nov. 28, 2003, with three friends after playing basketball when they were confronted by 11 to 15 youths outside Sir Charles Tupper Secondary School in Vancouver.",http://www.familiesagainstcrime.org/memorial/jomarl.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/jomarlanotpoleAtTupper.jpg,NA,3/20/2010,,
,Museum of Anthropology at UBC*,None,http://www.discovertotems.com/book1/MuseumAnthropologyUBC,Totem Pole,"+49° 16' 9.62"", -123° 15' 38.48""",http://www.discovertotems.com/book1/MuseumAnthropologyUBC,"49.269339, -123.260689",49.269339,-123.260689,Multiple,"The Museum of Anthropology building was designed by renowned Canadian architect Arthur Erickson, who based his award-winning design on traditional northern Northwest Coast post and beam structures. The original facility opened in 1976, and in 1990 a new wing was added, including a resource library, teaching laboratory, office, and exhibition gallery featuring 600 European ceramic pieces collected and donated by the late Dr. Walter Koerner. The total area of the original building and the Ceramics wing included 58,833 sq. feet of usable space: 16,092 sq. feet for academic functions (classrooms, labs, archival storage, and offices), and 38,889 sq. feet available to the public (exhibition and performance spaces, Visible Storage galleries, shop, and rental facilities).",http://www.moa.ubc.ca/,,http://www.geocaching.com/seek/cache_details.aspx?guid=12fa969e-1cd9-4be8-beab-5a66d34fbd6a,3/20/2010,,
,Oppenheimer Park,None,http://www.discovertotems.com/node/184,Totem Pole,"+49° 16' 56.50"", -123° 5' 38.93""",http://www.discovertotems.com/node/184,"49.282361, -123.094147",49.282361,-123.094147,unknown,Memorial pole,,http://www.discovertotems.com/system/files/images/DSC04813.preview.JPG,NA,3/20/2010,,
,Seymour Street,None,http://www.discovertotems.com/book1/SeymourStreet,Totem Pole,"+49° 16' 42.86"", -123° 7' 15.21""",http://www.discovertotems.com/book1/SeymourStreet,"49.278572, -123.120892",49.278572,-123.120892,Bill Reid,Haida Eagle and Frog Totem on Seymour Street,,TBD,NA,3/20/2010,,
,"Squamish Nation, North Vancouver",None,http://www.discovertotems.com/book1/SquamishNation,Totem Pole,"+49° 19' 11.58"", -123° 7' 34.32""",http://www.discovertotems.com/book1/SquamishNation,"49.319883, -123.126200",49.319883,-123.126200,unknown,Squamish Nation Totem Poles,,TBD,NA,3/20/2010,,
,Stanley Park,None,http://www.discovertotems.com/book1/StanleyPark,Totem Pole,"+49° 17' 57.67"", -123° 7' 15.76""",http://www.discovertotems.com/book1/StanleyPark,"49.299353, -123.121044",49.299353,-123.121044,unknown,TBD,,TBD,NA,3/20/2010,,
,Thunderbird Marina,None,http://www.discovertotems.com/book1/ThunderbirdMarina,Totem Pole,"+49° 21' 30.06"", -123° 16' 1.20""",http://www.discovertotems.com/book1/ThunderbirdMarina,"49.358350, -123.267000",49.358350,-123.267000,unknown,TBD,,TBD,NA,3/20/2010,,
,Thunderbird Totem Pole,None,http://www.discovertotems.com/node/212,Totem Pole,"+49° 16' 6.54"", -123° 15' 8.94""",http://www.discovertotems.com/node/212,"49.268483, -123.252483",49.268483,-123.252483,Ellen Neel,"This totem pole is entitled ""Victory Through Honour"" and was carved by Kwickwasutaineuk artist Ellen Neel. ""The pole tells of the five tests of Tsikumin, chief shaman of the Red Cedar Bark Dance and founder of Qui-Owa Sutinuk, ancestors of the carver. The Red Cedar Bark Dance was performed in Kitsilano Park during Vancouver's Jubilee in 1936."" -from UBC Archives - Campus Sculptures",http://www.publicaffairs.ubc.ca/media/releases/2004/mr-04-111.html,http://www.discovertotems.com/node/66,http://img.geocaching.com/cache/7ecd9ec8-64e1-47d0-9f8b-fb6bd5acc413.jpg,3/20/2010,,
